EmployeeID,FirstName,LastName,Gender,Age,Department,JobTitle,HireDate,YearsAtCompany,Salary,PerformanceRating,Attrition,Education,MaritalStatus,Overtime,TrainingHours,SickDays,City
E100000,Jennifer,Brown,Male,22,IT,Software Engineer,2020-07-18,5.5,102421,3,No,High School,Married,No,12,15,Chicago
E100001,James,Johnson,Female,37,HR,HR Specialist,2012-02-28,13.9,64103,3,No,Associate,Single,Yes,17,9,Seattle
E100002,Jennifer,Johnson,Female,34,Marketing,Marketing Specialist,2014-10-02,11.3,85310,4,No,Bachelor,Single,Yes,23,7,Miami
E100003,Robert,Davis,Female,57,HR,HR Specialist,2021-05-25,4.6,75227,3,No,Master,Single,Yes,12,7,Phoenix
E100004,Michael,Williams,Male,48,Marketing,Marketing Manager,2018-05-04,7.7,83293,3,Yes,Bachelor,Single,Yes,35,13,Atlanta
E100005,David,Williams,Female,33,Sales,Sales Manager,2022-06-19,3.5,76963,3,No,High School,Divorced,No,19,8,Boston
E100006,Karen,Moore,Female,39,IT,IT Support,2015-09-11,10.3,113570,3,No,Bachelor,Married,Yes,29,5,Phoenix
E100007,Matthew,Williams,Male,28,Finance,Accountant,2025-11-02,0.2,98983,3,No,Associate,Married,Yes,17,7,Atlanta
E100008,Karen,Gonzalez,Male,24,Operations,Operations Analyst,2018-01-24,7.9,56315,4,No,Bachelor,Married,No,46,15,Phoenix
E100009,Jessica,Rodriguez,Male,26,Customer Support,Support Lead,2024-01-21,1.9,39516,3,No,Bachelor,Single,No,22,11,Miami
E100010,Matthew,Wilson,Female,24,IT,IT Support,2021-02-08,4.9,97450,4,No,Bachelor,Married,No,20,2,Denver
E100011,David,Moore,Female,36,Operations,Operations Manager,2019-03-05,6.8,82340,3,No,Master,Divorced,No,15,7,Seattle
E100012,James,Gonzalez,Female,22,Finance,Accountant,2023-12-22,2,73746,4,No,High School,Married,Yes,34,4,Dallas
E100013,Lisa,Rodriguez,Female,44,Sales,Sales Rep,2016-03-07,9.8,69729,4,No,Bachelor,Divorced,Yes,46,10,Boston
E100014,Jennifer,Martin,Male,59,Marketing,Marketing Manager,2021-01-13,5,78185,4,No,Associate,Divorced,No,45,2,Miami
E100015,Michael,Hernandez,Female,56,Operations,Operations Analyst,2020-07-29,5.4,86358,4,No,Associate,Single,No,27,6,Dallas
E100016,Thomas,Johnson,Female,30,IT,Software Engineer,2025-03-21,0.8,79626,4,No,Master,Divorced,Yes,50,13,Atlanta
E100017,Jennifer,Jones,Female,49,IT,Software Engineer,2020-01-02,6,99664,3,No,Master,Married,Yes,6,2,Seattle
E100018,Lisa,Martinez,Female,32,Finance,Financial Analyst,2012-02-03,13.9,78466,3,Yes,Master,Divorced,Yes,35,13,Miami
E100019,William,Martin,Male,26,Sales,Sales Rep,2023-05-05,2.7,92013,3,No,Bachelor,Divorced,No,55,8,Miami
E100020,William,Rodriguez,Female,60,IT,IT Support,2022-09-29,3.3,103462,3,Yes,Associate,Married,No,36,2,Atlanta
E100021,Michael,Rodriguez,Female,32,HR,HR Manager,2021-01-09,5,72470,4,No,Bachelor,Divorced,Yes,8,14,Miami
E100022,Thomas,Jackson,Female,44,Operations,Operations Manager,2021-03-21,4.8,92167,2,No,Bachelor,Single,Yes,32,9,Boston
E100023,Matthew,Davis,Female,30,Operations,Operations Manager,2017-04-26,8.7,83912,4,No,High School,Single,Yes,26,2,Dallas
E100024,Daniel,Martin,Male,48,Operations,Operations Manager,2023-02-07,2.9,81956,3,No,High School,Single,Yes,31,2,Seattle
E100025,Elizabeth,Thomas,Male,28,Customer Support,Support Agent,2014-09-13,11.3,63323,3,No,Master,Divorced,No,45,8,Miami
E100026,James,Taylor,Male,45,HR,HR Specialist,2016-11-04,9.2,63085,3,Yes,Associate,Divorced,Yes,19,13,Seattle
E100027,Sarah,Brown,Male,59,Operations,Operations Manager,2012-05-11,13.7,73469,3,No,Bachelor,Married,No,49,10,Phoenix
E100028,Susan,Rodriguez,Female,32,Customer Support,Support Lead,2013-08-04,12.4,66777,4,Yes,Bachelor,Married,No,52,3,Seattle
E100029,Michael,Lopez,Female,57,Finance,Accountant,2024-03-03,1.8,96357,3,Yes,Bachelor,Single,Yes,30,10,Phoenix
E100030,Sarah,Brown,Male,53,Customer Support,Support Lead,2012-10-31,13.2,71325,3,Yes,Associate,Single,Yes,36,4,Seattle
E100031,Linda,Johnson,Female,39,IT,Data Analyst,2018-10-30,7.2,81782,5,No,Master,Single,Yes,59,4,Boston
E100032,Patricia,Brown,Male,42,Customer Support,Support Agent,2022-07-17,3.5,69306,3,Yes,Bachelor,Single,Yes,6,9,Boston
E100033,Susan,Williams,Male,39,Sales,Sales Manager,2021-12-22,4,69924,4,No,Master,Divorced,No,44,12,Phoenix
E100034,Jennifer,Taylor,Female,38,Operations,Operations Analyst,2016-07-19,9.5,69748,2,No,Master,Divorced,Yes,21,7,Dallas
E100035,Sarah,Anderson,Female,35,IT,Data Analyst,2016-03-06,9.8,96213,2,Yes,Master,Married,Yes,46,8,Boston
E100036,Daniel,Hernandez,Female,37,Sales,Sales Manager,2022-11-21,3.1,64937,4,No,Bachelor,Married,No,50,6,Seattle
E100037,Linda,Jones,Male,59,Finance,Financial Analyst,2023-04-24,2.7,81674,3,No,Master,Married,No,40,3,Dallas
E100038,Matthew,Moore,Female,42,Finance,Financial Analyst,2024-01-22,1.9,71618,4,No,High School,Divorced,Yes,40,10,Chicago
E100039,Sarah,Johnson,Male,41,Marketing,Marketing Specialist,2021-05-04,4.7,89879,4,No,High School,Single,Yes,26,1,Seattle
E100040,Joseph,Williams,Female,44,Operations,Operations Manager,2024-06-12,1.6,92495,2,No,Master,Married,Yes,6,12,Seattle
E100041,Jennifer,Thomas,Female,30,Finance,Accountant,2024-11-08,1.1,81367,4,No,Master,Single,No,12,12,Dallas
E100042,Mary,Jones,Male,44,Finance,Financial Analyst,2021-05-22,4.6,71821,4,No,Master,Single,No,13,5,Chicago
E100043,David,Gonzalez,Female,25,Sales,Sales Manager,2025-03-20,0.8,70792,3,No,Master,Married,No,4,0,Boston
E100044,Thomas,Williams,Male,56,Marketing,Marketing Specialist,2018-08-18,7.4,95480,3,No,Associate,Married,No,32,9,Seattle
E100045,Robert,Moore,Female,59,Marketing,Marketing Manager,2023-04-17,2.7,93633,3,No,Associate,Married,No,46,3,Seattle
E100046,Matthew,Davis,Male,26,Marketing,Marketing Manager,2012-06-05,13.6,76699,3,No,High School,Married,No,58,8,Dallas
E100047,Michael,Brown,Female,38,Customer Support,Support Lead,2020-01-10,6,68862,5,No,Master,Divorced,No,15,12,Seattle
E100048,Thomas,Hernandez,Male,38,Marketing,Marketing Specialist,2023-08-17,2.4,53754,3,Yes,Bachelor,Single,Yes,37,8,Boston
E100049,Jessica,Thomas,Female,47,Finance,Accountant,2025-02-04,0.9,67226,3,Yes,Bachelor,Single,Yes,55,10,Chicago
E100050,James,Smith,Female,34,Finance,Accountant,2022-05-12,3.6,92534,4,No,High School,Single,Yes,47,4,Seattle
E100051,Linda,Jones,Female,59,IT,Software Engineer,2025-06-25,0.5,88339,4,No,Master,Married,Yes,39,7,Dallas
E100052,James,Rodriguez,Male,49,Sales,Sales Rep,2020-08-02,5.4,50127,3,Yes,Associate,Married,Yes,45,11,Boston
